Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.192602157592773,15.425999641418457,26.244781494140625,39.68172836303711,0.4824230670928955,24.65950423811587,15.737500190734863,26.55453482936228,40.24182108341243,0.4860178989724025,23.754465939878138,15.347999572753906,26.162013603133126,39.49503294774499,0.47475413050855675,24.648439535677543,15.628999710083008,26.395939382391216,39.59686710492701,0.4824230670928955,212818400,55664000,26480000,27913900,113680000
2015-01-05,23.51106071472168,15.10949993133545,25.74471664428711,39.31683349609375,0.47427481412887573,24.042134423807454,15.418999671936035,26.167468351017355,39.6562818618999,0.48386098455641025,23.32518584507189,15.042499542236328,25.659969304037432,39.24894188058228,0.47211794363827814,23.96247328303275,15.350500106811523,26.125837680596216,39.35077606659908,0.482423051850041,257142000,55484000,41182000,39673900,197952000
2015-01-06,23.51326560974121,14.76449966430664,25.109352111816406,38.739768981933594,0.45989561080932617,23.77216338083341,15.149999618530273,25.83144763477593,39.673256065034195,0.47547309165022456,23.152577326433928,14.619000434875488,25.05533054976907,38.64641962617343,0.4594163094203207,23.575223877533926,15.112000465393066,25.796260075707373,39.359265426136794,0.474993790261219,263188400,70380000,54456000,36447900,197764000
2015-01-07,23.84298324584961,14.920999526977539,25.035505294799805,39.231964111328125,0.4586973190307617,23.942558834690647,15.064000129699707,25.349718543930422,39.427147625842196,0.4673248578568716,23.610637954237987,14.766500473022461,24.96116562266541,38.60398293197851,0.4572593863700916,23.721278247722207,14.875,25.322957320689344,39.019807695041095,0.46325072484129143,160423600,52806000,46918000,29114100,321808000
2015-01-08,24.759078979492188,15.02299976348877,25.122732162475586,40.38610076904297,0.4759523272514343,24.816612391422495,15.156999588012695,25.151971940893755,40.52188076357751,0.4788281923258689,24.05319353108403,14.805500030517578,24.533455909070756,39.64779725108958,0.463729986391946,24.170473633005646,15.015999794006348,24.85510481517705,39.67325498842405,0.4639696513377999,237458000,61768000,73054000,29645200,283780000
2015-01-09,24.7856388092041,14.846500396728516,24.815950393676758,40.04664611816406,0.4778696298599243,25.060026262015647,15.143500328063965,25.20648840777159,40.58128122227692,0.4814644617201365,24.387333080738237,14.833999633789062,24.71336161380152,39.80054712239798,0.47115932466912314,24.931683117483658,15.074000358581543,25.18567307381611,40.403070599989356,0.4776299934485482,214798000,51848000,42000000,23944200,209540000
2015-01-12,24.174901962280273,14.570500373840332,24.634559631347656,39.545955657958984,0.47187817096710205,24.9228296715174,14.92549991607666,24.79414385487283,40.34366587434169,0.4793074406394946,24.075326382352763,14.46399974822998,24.32976151581034,39.34228730625495,0.46756440240148545,24.916191524620462,14.878000259399414,24.742600854209794,40.241828461239585,0.4790677757201465,198603200,68428000,57138000,23651900,190732000
2015-01-13,24.38953971862793,14.737000465393066,24.869474411010742,39.34228515625,0.4711593687534332,24.96044387790698,15.074999809265137,25.206486170400954,40.65765424972645,0.48505928182729857,24.099662771315515,14.661499977111816,24.644470312904026,39.08769811190776,0.4678042301285856,24.657288951103045,14.87399959564209,24.907635853208518,39.85994731418749,0.4754731388203514,268367600,82728000,60958000,35270600,236720000
