Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2015-01-02,24.192602157592773,15.425999641418457,26.244781494140625,39.681739807128906,0.4824230372905731
2015-01-05,23.511056900024414,15.10949993133545,25.744714736938477,39.31684875488281,0.4742748439311981
2015-01-06,23.513277053833008,14.76449966430664,25.109350204467773,38.739768981933594,0.4598954916000366
2015-01-07,23.84298324584961,14.920999526977539,25.035503387451172,39.23197555541992,0.4586973190307617
2015-01-08,24.759082794189453,15.02299976348877,25.122730255126953,40.386104583740234,0.4759523272514343
2015-01-09,24.7856388092041,14.846500396728516,24.815948486328125,40.04664993286133,0.47786954045295715
2015-01-12,24.17490005493164,14.570500373840332,24.634559631347656,39.54596710205078,0.4718782603740692
2015-01-13,24.389541625976562,14.737000465393066,24.869476318359375,39.3422966003418,0.4711592197418213
2015-01-14,24.296600341796875,14.66349983215332,25.074159622192383,39.002845764160156,0.47307655215263367
2015-01-15,23.637184143066406,14.34749984741211,24.979005813598633,38.59550094604492,0.46972131729125977
2015-01-16,23.45352554321289,14.536999702453613,25.29867172241211,39.24045181274414,0.478348970413208
2015-01-20,24.057621002197266,14.472000122070312,25.272899627685547,39.36774444580078,0.47978681325912476
2015-01-21,24.241283416748047,14.862500190734863,25.790807723999023,38.96889877319336,0.4864971935749054
2015-01-22,24.871929168701172,15.515999794006348,26.628877639770508,39.99573516845703,0.49488481879234314
2015-01-23,25.000282287597656,15.619500160217285,26.859329223632812,40.038169860839844,0.4963228702545166
2015-01-26,25.026830673217773,15.482999801635742,26.60013198852539,39.89388656616211,0.4941660165786743
2015-01-27,24.150556564331055,15.337499618530273,25.830455780029297,36.202369689941406,0.47044041752815247
2015-01-28,25.5158634185791,15.195500373840332,25.39630699157715,34.954891204833984,0.46277138590812683
2015-01-29,26.310251235961914,15.58899974822998,25.43595314025879,35.65074920654297,0.4740350544452667
2015-01-30,25.925233840942383,17.726499557495117,26.641263961791992,34.28447723388672,0.46013522148132324
2015-02-02,26.250511169433594,18.223499298095703,26.376121520996094,35.031280517578125,0.47020062804222107
2015-02-03,26.254940032958984,18.177499771118164,26.430635452270508,35.302833557128906,0.48194360733032227
2015-02-04,26.456302642822266,18.237499237060547,26.07379913330078,35.50649642944336,0.4831419885158539
2015-02-05,26.645143508911133,18.694499969482422,26.258655548095703,36.0241584777832,0.49105051159858704
2015-02-06,26.420764923095703,18.714000701904297,26.459383010864258,35.9902229309082,0.48889368772506714
2015-02-09,26.596263885498047,18.527999877929688,26.231401443481445,35.947784423828125,0.48841428756713867
2015-02-10,27.107215881347656,18.649999618530273,26.770618438720703,36.15147018432617,0.502074658870697
2015-02-11,27.742576599121094,18.756999969482422,26.66356658935547,35.96476364135742,0.4987194836139679
2015-02-12,28.093576431274414,18.85849952697754,27.060548782348633,36.56727981567383,0.5344278216362
2015-02-13,28.23130989074707,19.09149932861328,27.315784454345703,37.229217529296875,0.534667432308197
2015-02-17,28.397924423217773,18.771499633789062,27.010986328125,37.24631118774414,0.5363451838493347
2015-02-18,28.59564971923828,18.668500900268555,26.89402198791504,37.203575134277344,0.5301140546798706
2015-02-19,28.535663604736328,18.950000762939453,27.08235740661621,37.17792510986328,0.5315518975257874
2015-02-20,28.768924713134766,19.183000564575195,26.851898193359375,37.4856071472168,0.5353864431381226
2015-02-23,29.54645538330078,19.006999969482422,26.5148868560791,37.73345947265625,0.531072735786438
2015-02-24,29.362070083618164,18.929500579833984,26.695783615112305,37.68218994140625,0.5367263555526733
2015-02-25,28.611196517944336,19.26849937438965,27.125967025756836,37.596710205078125,0.5326366424560547
2015-02-26,28.973304748535156,19.239999771118164,27.718711853027344,37.656551361083984,0.5340799689292908
2015-02-27,28.537883758544922,19.007999420166016,27.884244918823242,37.47706604003906,0.530711829662323
2015-03-02,28.67784309387207,19.283000946044922,28.49829864501953,37.5026969909668,0.543703019618988
2015-03-03,28.737821578979492,19.230499267578125,28.685142517089844,36.989906311035156,0.5335986018180847
2015-03-04,28.555654525756836,19.13599967956543,28.66234588623047,36.8018684387207,0.5396129488945007
2015-03-05,28.082469940185547,19.39150047302246,28.815982818603516,36.8446044921875,0.5499580502510071
2015-03-06,28.124683380126953,19.004499435424805,28.393230438232422,36.20361328125,0.5425001978874207
2015-03-09,28.244647979736328,18.92799949645996,28.45270347595215,36.62239074707031,0.5439434051513672
2015-03-10,27.66037940979004,18.475500106811523,27.746463775634766,35.92157745361328,0.5533260107040405
2015-03-11,27.156091690063477,18.318500518798828,27.54029655456543,35.87884521484375,0.5504391193389893
2015-03-12,27.647048950195312,18.711999893188477,27.811885833740234,35.0583610534668,0.5453870296478271
2015-03-13,27.455995559692383,18.52899932861328,27.40697479248047,35.36604309082031,0.5461084842681885
2015-03-16,27.758132934570312,18.667499542236328,27.835180282592773,35.51988983154297,0.552604079246521
2015-03-17,28.222421646118164,18.59600067138672,27.635448455810547,35.6395378112793,0.5593405961990356
2015-03-18,28.540109634399414,18.756999969482422,28.05919075012207,36.323265075683594,0.5501984357833862
2015-03-19,28.324613571166992,18.66200065612793,27.9357852935791,36.14379119873047,0.5586185455322266
2015-03-20,27.96917152404785,18.92449951171875,27.999223709106445,36.64804458618164,0.564633309841156
2015-03-23,28.260196685791016,18.75550079345703,28.020042419433594,36.63094711303711,0.5463494062423706
2015-03-24,28.144672393798828,18.704500198364258,28.623193740844727,36.665138244628906,0.5388916730880737
2015-03-25,27.40933609008789,18.54800033569336,28.1008243560791,35.43441390991211,0.5061730146408081
2015-03-26,27.600393295288086,18.36750030517578,27.93429946899414,35.22074890136719,0.504489004611969
2015-03-27,27.38046646118164,18.527999877929688,27.632478713989258,35.01563262939453,0.5143528580665588
2015-03-30,28.073591232299805,18.72949981689453,27.810401916503906,35.0070915222168,0.5165179371833801
2015-03-31,27.64259910583496,18.604999542236328,27.491228103637695,34.75067901611328,0.5035267472267151
2015-04-01,27.602617263793945,18.51300048828125,27.23301887512207,34.80196762084961,0.5054513216018677
2015-04-02,27.840322494506836,18.612499237060547,26.827613830566406,34.4344596862793,0.5066542029380798
2015-04-06,28.291296005249023,18.851999282836914,26.95845603942871,35.51133728027344,0.5213293433189392
2015-04-07,27.99361228942871,18.720500946044922,27.00355339050293,35.49424362182617,0.5259003043174744
2015-04-08,27.902524948120117,19.059999465942383,27.200801849365234,35.40023422241211,0.5297494530677795
2015-04-09,28.11579704284668,19.177000045776367,27.16016387939453,35.45151138305664,0.5420187711715698
2015-04-10,28.235755920410156,19.13249969482422,27.185935974121094,35.6566276550293,0.5475522875785828
2015-04-13,28.18021583557129,19.118000030517578,27.190893173217773,35.690818786621094,0.5425001978874207
2015-04-14,28.058032989501953,19.25550079345703,26.751787185668945,35.5968132019043,0.537929117679596
